Entity,Code,Year,Indicator:Enforce bans on tobacco advertising
Afghanistan,AFG,2007,4
Afghanistan,AFG,2008,4
Afghanistan,AFG,2010,4
Afghanistan,AFG,2012,4
Afghanistan,AFG,2014,4
Afghanistan,AFG,2016,5
Afghanistan,AFG,2018,5
Albania,ALB,2007,5
Albania,ALB,2008,5
Albania,ALB,2010,5
Albania,ALB,2012,5
Albania,ALB,2014,5
Albania,ALB,2016,5
Albania,ALB,2018,5
Algeria,DZA,2007,4
Algeria,DZA,2008,4
Algeria,DZA,2010,4
Algeria,DZA,2012,4
Algeria,DZA,2014,4
Algeria,DZA,2016,4
Algeria,DZA,2018,4
Andorra,AND,2007,2
Andorra,AND,2008,2
Andorra,AND,2010,2
Andorra,AND,2012,2
Andorra,AND,2014,2
Andorra,AND,2016,2
Andorra,AND,2018,2
Angola,AGO,2007,2
Angola,AGO,2008,2
Angola,AGO,2010,2
Angola,AGO,2012,2
Angola,AGO,2014,2
Angola,AGO,2016,2
Angola,AGO,2018,2
Antigua and Barbuda,ATG,2007,2
Antigua and Barbuda,ATG,2008,2
Antigua and Barbuda,ATG,2010,2
Antigua and Barbuda,ATG,2012,2
Antigua and Barbuda,ATG,2014,2
Antigua and Barbuda,ATG,2016,2
Antigua and Barbuda,ATG,2018,5
Argentina,ARG,2007,2
Argentina,ARG,2008,2
Argentina,ARG,2010,2
Argentina,ARG,2012,4
Argentina,ARG,2014,4
Argentina,ARG,2016,4
Argentina,ARG,2018,4
Armenia,ARM,2007,2
Armenia,ARM,2008,2
Armenia,ARM,2010,2
Armenia,ARM,2012,2
Armenia,ARM,2014,2
Armenia,ARM,2016,2
Armenia,ARM,2018,2
Australia,AUS,2007,4
Australia,AUS,2008,4
Australia,AUS,2010,4
Australia,AUS,2012,4
Australia,AUS,2014,4
Australia,AUS,2016,4
Australia,AUS,2018,4
Austria,AUT,2007,4
Austria,AUT,2008,4
Austria,AUT,2010,4
Austria,AUT,2012,4
Austria,AUT,2014,4
Austria,AUT,2016,4
Austria,AUT,2018,4
Azerbaijan,AZE,2007,4
Azerbaijan,AZE,2008,4
Azerbaijan,AZE,2010,4
Azerbaijan,AZE,2012,4
Azerbaijan,AZE,2014,4
Azerbaijan,AZE,2016,4
Azerbaijan,AZE,2018,5
Bahamas,BHS,2007,2
Bahamas,BHS,2008,2
Bahamas,BHS,2010,2
Bahamas,BHS,2012,2
Bahamas,BHS,2014,2
Bahamas,BHS,2016,2
Bahamas,BHS,2018,2
Bahrain,BHR,2007,2
Bahrain,BHR,2008,2
Bahrain,BHR,2010,4
Bahrain,BHR,2012,5
Bahrain,BHR,2014,5
Bahrain,BHR,2016,5
Bahrain,BHR,2018,5
Bangladesh,BGD,2007,4
Bangladesh,BGD,2008,4
Bangladesh,BGD,2010,4
Bangladesh,BGD,2012,4
Bangladesh,BGD,2014,4
Bangladesh,BGD,2016,4
Bangladesh,BGD,2018,4
Barbados,BRB,2007,2
Barbados,BRB,2008,2
Barbados,BRB,2010,2
Barbados,BRB,2012,2
Barbados,BRB,2014,2
Barbados,BRB,2016,2
Barbados,BRB,2018,2
Belarus,BLR,2007,4
Belarus,BLR,2008,4
Belarus,BLR,2010,4
Belarus,BLR,2012,4
Belarus,BLR,2014,4
Belarus,BLR,2016,4
Belarus,BLR,2018,4
Belgium,BEL,2007,4
Belgium,BEL,2008,4
Belgium,BEL,2010,4
Belgium,BEL,2012,4
Belgium,BEL,2014,4
Belgium,BEL,2016,4
Belgium,BEL,2018,4
Belize,BLZ,2007,2
Belize,BLZ,2008,2
Belize,BLZ,2010,2
Belize,BLZ,2012,2
Belize,BLZ,2014,2
Belize,BLZ,2016,2
Belize,BLZ,2018,2
Benin,BEN,2007,4
Benin,BEN,2008,4
Benin,BEN,2010,4
Benin,BEN,2012,4
Benin,BEN,2014,4
Benin,BEN,2016,4
Benin,BEN,2018,5
Bhutan,BTN,2007,2
Bhutan,BTN,2008,2
Bhutan,BTN,2010,4
Bhutan,BTN,2012,4
Bhutan,BTN,2014,4
Bhutan,BTN,2016,4
Bhutan,BTN,2018,4
Bolivia,BOL,2007,4
